ts,x,y,z
2019-03-21 14:58:00:500,0.1273,-0.6353,-0.3466
2019-03-21 14:58:00:510,0.2188,-0.6314,-0.2873
2019-03-21 14:58:00:520,0.2427,-0.6593,-0.2359
2019-03-21 14:58:00:530,0.2347,-0.6912,-0.2596
2019-03-21 14:58:00:540,0.187,-0.7191,-0.3387
2019-03-21 14:58:00:550,0.2069,-0.444,-0.4059
2019-03-21 14:58:00:560,-0.2307,-0.6074,-0.7737
2019-03-21 14:58:00:570,-0.0397,-0.6672,-1.011
2019-03-21 14:58:00:580,0.0239,-0.7390000000000001,-1.015
2019-03-21 14:58:00:590,-0.0278,-0.9024,-1.0269
2019-03-21 14:58:00:600,-0.0755,-0.9582,-0.9675
2019-03-21 14:58:00:610,-0.1034,-0.9861,-0.7421
2019-03-21 14:58:00:620,0.0677,-0.9742,-0.3901
2019-03-21 14:58:00:630,0.2467,-1.0499,-0.1647
2019-03-21 14:58:00:640,0.2546,-1.1137,-0.0065
2019-03-21 14:58:00:650,0.2745,-1.014,-0.0777
2019-03-21 14:58:00:660,0.191,-0.9224,-0.2517
2019-03-21 14:58:00:670,0.1671,-0.8267,-0.4138
2019-03-21 14:58:00:680,0.1472,-0.8386,-0.5562
2019-03-21 14:58:00:690,0.0876,-0.9263,-0.6511
2019-03-21 14:58:00:700,0.0796,-1.1057,-0.6274
2019-03-21 14:58:00:710,0.1154,-1.1535,-0.6076
2019-03-21 14:58:00:720,0.1074,-1.0778,-0.5997
2019-03-21 14:58:00:730,0.1631,-0.9901,-0.4771
2019-03-21 14:58:00:740,0.2109,-1.03,-0.4099
2019-03-21 14:58:00:750,0.2467,-1.0738,-0.2754
2019-03-21 14:58:00:760,0.2864,-1.1496,-0.2003
2019-03-21 14:58:00:770,0.2864,-1.1336,-0.133
2019-03-21 14:58:00:780,0.3222,-1.026,-0.0619
2019-03-21 14:58:00:790,0.3183,-0.9901,-0.0777
2019-03-21 14:58:00:800,0.3063,-0.9224,-0.0698
2019-03-21 14:58:00:810,0.2825,-0.8905,-0.1172
2019-03-21 14:58:00:820,0.2387,-0.8028,-0.2438
2019-03-21 14:58:00:830,0.2268,-0.7868,-0.2991
2019-03-21 14:58:00:840,0.2268,-0.747,-0.3822
2019-03-21 14:58:00:850,0.2148,-0.7788,-0.4257
2019-03-21 14:58:00:860,0.2228,-0.8147,-0.4138
2019-03-21 14:58:00:870,0.2308,-0.7908,-0.3427
2019-03-21 14:58:00:880,0.2387,-0.7988,-0.2991
2019-03-21 14:58:00:890,0.2626,-0.8426,-0.2517
2019-03-21 14:58:00:900,0.2626,-0.8745,-0.2201
2019-03-21 14:58:00:910,0.2546,-0.8984,-0.2517
2019-03-21 14:58:00:920,0.2626,-0.9622,-0.315
2019-03-21 14:58:00:930,0.2904,-0.9861,-0.3545
2019-03-21 14:58:00:940,0.2944,-1.018,-0.398
2019-03-21 14:58:00:950,0.2944,-1.014,-0.4099
2019-03-21 14:58:00:960,0.2864,-1.01,-0.3822
2019-03-21 14:58:00:970,0.2864,-0.9981,-0.4376
2019-03-21 14:58:00:980,0.2745,-0.9981,-0.4455
2019-03-21 14:58:00:990,0.2626,-0.9861,-0.4218
2019-03-21 14:58:01:000,0.2825,-0.9582,-0.4218
2019-03-21 14:58:01:010,0.3342,-0.9662,-0.4099
2019-03-21 14:58:01:020,0.4177,-0.9503,-0.4653
2019-03-21 14:58:01:030,0.4774,-0.9463,-0.5088
2019-03-21 14:58:01:040,0.4376,-0.9343,-0.5602
2019-03-21 14:58:01:050,0.358,-0.9343,-0.7144
2019-03-21 14:58:01:060,0.2586,-0.9503,-0.7421
2019-03-21 14:58:01:070,0.1989,-0.9184,-0.754
2019-03-21 14:58:01:080,0.1393,-0.8825,-0.7737
2019-03-21 14:58:01:090,0.0915,-0.8426,-0.6986
2019-03-21 14:58:01:100,0.0637,-0.8307,-0.5720000000000001
2019-03-21 14:58:01:110,0.016,-0.8546,-0.5127
2019-03-21 14:58:01:120,0.0557,-0.9064,-0.4297
2019-03-21 14:58:01:130,0.0597,-0.9981,-0.3822
2019-03-21 14:58:01:140,0.0199,-1.0738,-0.3545
2019-03-21 14:58:01:150,-0.0079,-1.1496,-0.3506
2019-03-21 14:58:01:160,-0.0238,-1.1894,-0.3901
2019-03-21 14:58:01:170,-0.1113,-1.1217,-0.4257
2019-03-21 14:58:01:180,-0.1392,-1.014,-0.5246
2019-03-21 14:58:01:190,-0.0358,-0.9423,-0.5523
2019-03-21 14:58:01:200,-0.0755,-0.8905,-0.5483
2019-03-21 14:58:01:210,-0.0397,-0.9144,-0.5562
2019-03-21 14:58:01:220,0.0239,-0.8506,-0.4376
2019-03-21 14:58:01:230,0.0518,-0.7868,-0.3624
2019-03-21 14:58:01:240,0.0836,-0.7629,-0.3308
2019-03-21 14:58:01:250,0.0995,-0.7908,-0.3387
2019-03-21 14:58:01:260,0.0876,-0.7709,-0.3466
2019-03-21 14:58:01:270,0.1154,-0.747,-0.4336
2019-03-21 14:58:01:280,0.1234,-0.747,-0.4771
2019-03-21 14:58:01:290,0.1234,-0.7669,-0.4653
2019-03-21 14:58:01:300,0.1512,-0.7589,-0.4771
2019-03-21 14:58:01:310,0.1512,-0.723,-0.4376
